itemsNumber,1250, 1250, 1250, 1250, 1250, 1250, 1250, 1250, 1250, 1250, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000

totalSize, 66208, 67456, 66954, 64189, 65135, 66249, 65821, 64788, 65873, 64831, 131912, 131513, 132335, 134377, 133712, 129102, 129936, 130869, 131131, 132576, 261109, 261985, 261511, 263660, 261440, 266547, 260128, 265715, 263954, 264184, 528102, 530316, 527663, 526638, 534052, 529703, 529826, 526177, 527328, 527123, 1054540, 1052832, 1056402, 1049825, 1051698, 1050964, 1057558, 1058062, 1056870, 1051994


nextFit,887, 895, 883, 854, 867, 893, 871, 864, 876, 857, 1755, 1752, 1766, 1792, 1759, 1713, 1731, 1731, 1750, 1753, 3482, 3489, 3477, 3510, 3466, 3545, 3475, 3551, 3525, 3516, 7035, 7068, 7009, 7009, 7072, 6985, 7006, 6987, 7013, 6978, 14016, 13955, 14017, 13969, 13965, 13934, 14019, 14042, 14029, 13959

sortedNextFit, 846, 867, 856, 826, 840, 854, 846, 843, 835, 827, 1689, 1671, 1709, 1716, 1717, 1649, 1659, 1676, 1686, 1696, 3331, 3370, 3364, 3372, 3357, 3414, 3347, 3398, 3387, 3382, 6753, 6813, 6755, 6757, 6830, 6763, 6787, 6737, 6749, 6711, 13511, 13516, 13536, 13463, 13503, 13477, 13554, 13520, 13565, 13494

FirstFit, 694, 719, 705, 670, 683, 700, 696, 682, 689, 675, 1380, 1369, 1380, 1397, 1399, 1344, 1355, 1359, 1360, 1386, 2702, 2715, 2706, 2719, 2711, 2772, 2680, 2743, 2723, 2736, 5442, 5457, 5418, 5417, 5510, 5451, 5432, 5386, 5421, 5409, 10776, 10784, 10807, 10728, 10744, 10749, 10800, 10832, 10818, 10738

sortedFirstFit, 669, 689, 681, 649, 657, 676, 670, 659, 668, 655, 1330, 1330, 1349, 1363, 1360, 1301, 1309, 1326, 1325, 1351, 2636, 2647, 2636, 2658, 2635, 2699, 2617, 2689, 2664, 2673, 5333, 5376, 5320, 5303, 5402, 5349, 5342, 5294, 5313, 5312, 10609, 10621, 10664, 10559, 10585, 10584, 10657, 10657, 10665, 10586

BestFit, 684, 711, 695, 662, 674, 694, 690, 674, 683, 671, 1364, 1355, 1363, 1384, 1378, 1332, 1335, 1340, 1339, 1369, 2670, 2696, 2675, 2695, 2684, 2746, 2650, 2707, 2694, 2708, 5392, 5396, 5358, 5374, 5464, 5404, 5379, 5329, 5369, 5352, 10687, 10707, 10716, 10651, 10653, 10655, 10715, 10760, 10723, 10654

sortedBestFit,669, 689, 681, 649, 657, 676, 670, 659, 668, 655, 1330, 1330, 1349, 1363, 1360, 1301, 1309, 1326, 1325, 1351, 2636, 2647, 2636, 2658, 2635, 2699, 2617, 2689, 2664, 2673, 5333, 5376, 5320, 5303, 5402, 5349, 5342, 5294, 5313, 5312, 10609, 10621, 10664, 10559, 10585, 10584, 10657, 10657, 10665, 10586

WorstFit, 768, 795, 782, 746, 763, 774, 770, 764, 764, 754, 1533, 1527, 1547, 1550, 1564, 1493, 1518, 1526, 1530, 1553, 3053, 3057, 3047, 3064, 3047, 3118, 3047, 3106, 3073, 3089, 6165, 6191, 6147, 6139, 6217, 6175, 6168, 6128, 6145, 6134, 12256, 12269, 12304, 12238, 12266, 12252, 12313, 12288, 12331, 12255

