itemsNumber		totalSize			nextFit		sortedNextFit		FirstFit		sortedFirstFit		BestFit		sortedBestFit		WorstFit		sortedWorstFit		FullFit		sortedFullFit			modFullFit		sortedModFullFit
1250		66208			887		846		694		669		684		669		768		669		693		677			677		673
1250		67456			895		867		719		689		711		689		795		689		719		708			708		698
1250		66954			883		856		705		681		695		681		782		681		701		689			691		683
1250		64189			854		826		670		649		662		649		746		649		665		653			661		653
1250		65135			867		840		683		657		674		657		763		657		680		668			668		657
1250		66249			893		854		700		676		694		676		774		676		693		684			685		681
1250		65821			871		846		696		670		690		670		770		670		695		677			678		672
1250		64788			864		843		682		659		674		659		764		659		684		675			677		671
1250		65873			876		835		689		668		683		668		764		668		687		677			678		673
1250		64831			857		827		675		655		671		655		754		656		674		662			663		657
2500		131912			1755		1689		1380		1330		1364		1330		1533		1331		1377		1349			1353		1338
2500		131513			1752		1671		1369		1330		1355		1330		1527		1330		1353		1335			1337		1329
2500		132335			1766		1709		1380		1349		1363		1349		1547		1349		1386		1363			1365		1350
2500		134377			1792		1716		1397		1363		1384		1363		1550		1368		1399		1379			1381		1370
2500		133712			1759		1717		1399		1360		1378		1360		1564		1360		1394		1373			1372		1364
2500		129102			1713		1649		1344		1301		1332		1301		1493		1303		1340		1321			1320		1311
2500		129936			1731		1659		1355		1309		1335		1309		1518		1310		1347		1325			1322		1313
2500		130869			1731		1676		1359		1326		1340		1326		1526		1326		1360		1336			1337		1329
2500		131131			1750		1686		1360		1325		1339		1325		1530		1327		1361		1347			1346		1335
2500		132576			1753		1696		1386		1351		1369		1351		1553		1351		1382		1362			1363		1357
5000		261109			3482		3331		2702		2636		2670		2636		3053		2636		2682		2646			2660		2635
5000		261985			3489		3370		2715		2647		2696		2647		3057		2647		2707		2679			2675		2663
5000		261511			3477		3364		2706		2636		2675		2636		3047		2636		2690		2653			2662		2650
5000		263660			3510		3372		2719		2658		2695		2658		3064		2658		2707		2680			2669		2662
5000		261440			3466		3357		2711		2635		2684		2635		3047		2637		2696		2653			2660		2642
5000		266547			3545		3414		2772		2699		2746		2699		3118		2699		2748		2715			2713		2701
5000		260128			3475		3347		2680		2617		2650		2617		3047		2618		2662		2634			2632		2617
5000		265715			3551		3398		2743		2689		2707		2689		3106		2689		2732		2718			2706		2699
5000		263954			3525		3387		2723		2664		2694		2664		3073		2664		2710		2682			2671		2665
5000		264184			3516		3382		2736		2673		2708		2673		3089		2673		2724		2685			2682		2677
10000		528102			7035		6753		5442		5333		5392		5333		6165		5333		5403		5350			5361		5336
10000		530316			7068		6813		5457		5376		5396		5376		6191		5376		5428		5403			5406		5382
10000		527663			7009		6755		5418		5320		5358		5320		6147		5322		5395		5368			5362		5338
10000		526638			7009		6757		5417		5303		5374		5303		6139		5307		5388		5337			5345		5312
10000		534052			7072		6830		5510		5402		5464		5402		6217		5402		5477		5423			5448		5418
10000		529703			6985		6763		5451		5349		5404		5349		6175		5350		5418		5378			5378		5357
10000		529826			7006		6787		5432		5342		5379		5342		6168		5342		5411		5389			5384		5366
10000		526177			6987		6737		5386		5294		5329		5294		6128		5294		5365		5329			5324		5309
10000		527328			7013		6749		5421		5313		5369		5313		6145		5313		5385		5345			5335		5320
10000		527123			6978		6711		5409		5312		5352		5312		6134		5312		5363		5330			5321		5314
20000		1054540			14016		13511		10776		10609		10687		10609		12256		10615		10712		10672			10675		10652
20000		1052832			13955		13516		10784		10621		10707		10621		12269		10621		10712		10662			10679		10636
20000		1056402			14017		13536		10807		10664		10716		10664		12304		10664		10766		10694			10696		10675
20000		1049825			13969		13463		10728		10559		10651		10559		12238		10559		10653		10587			10585		10561
20000		1051698			13965		13503		10744		10585		10653		10585		12266		10585		10701		10641			10617		10592
20000		1050964			13934		13477		10749		10584		10655		10584		12252		10584		10676		10635			10621		10585
20000		1057558			14019		13554		10800		10657		10715		10657		12313		10657		10755		10696			10696		10663
20000		1058062			14042		13520		10832		10657		10760		10657		12288		10657		10773		10672			10677		10653
20000		1056870			14029		13565		10818		10665		10723		10665		12331		10665		10764		10704			10736		10680
20000		1051994			13959		13494		10738		10586		10654		10586		12255		10593		10710		10646			10661		10623
