itemsNumber,1250, 1250, 1250, 1250, 1250, 1250, 1250, 1250, 1250, 1250, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 5000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000

totalSize, 66208, 67456, 66954, 64189, 65135, 66249, 65821, 64788, 65873, 64831, 131912, 131513, 132335, 134377, 133712, 129102, 129936, 130869, 131131, 132576, 261109, 261985, 261511, 263660, 261440, 266547, 260128, 265715, 263954, 264184, 528102, 530316, 527663, 526638, 534052, 529703, 529826, 526177, 527328, 527123, 1054540, 1052832, 1056402, 1049825, 1051698, 1050964, 1057558, 1058062, 1056870, 1051994


nextFit, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1

sortedNextFit, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0

FirstFit, 11, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 1, 6, 5, 5, 6, 5, 5, 6, 5, 5, 6, 27, 21, 20, 21, 21, 24, 22, 22, 20, 24, 83, 87, 93, 89, 89, 91, 93, 89, 91, 92

sortedFirstFit, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 2, 1, 4, 4, 4, 2, 1, 1, 2, 2, 7, 11, 6, 6, 8, 7, 6, 7, 7, 6, 23, 26, 28, 24, 27, 23, 22, 23, 23, 25, 90, 90, 92, 89, 103, 98, 101, 96, 95, 99

BestFit, 11, 1, 1, 0, 0, 1, 0, 0, 1, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 6, 7, 6, 7, 7, 7, 6, 8, 7, 7, 28, 26, 27, 23, 25, 25, 31, 25, 25, 24, 104, 110, 119, 100, 105, 106, 106, 109, 106, 108


sortedBestFit,1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 3, 4, 5, 5, 2, 3, 2, 2, 2, 14, 15, 8, 9, 11, 9, 8, 11, 9, 9, 38, 39, 37, 35, 42, 35, 36, 35, 36, 36, 143, 138, 149, 140, 151, 163, 151, 144, 148, 145

WorstFit, 10, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 3, 2, 2, 2, 2, 3, 3, 7, 6, 7, 9, 7, 6, 6, 7, 7, 7, 33, 26, 27, 28, 29, 28, 32, 26, 26, 28, 109, 110, 112, 105, 119, 115, 111, 116, 123, 115

sortedWorstFit, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 3, 3, 6, 6, 3, 3, 3, 2, 3, 14, 10, 21, 11, 10, 10, 10, 11, 10, 10, 38, 44, 44, 38, 38, 38, 44, 38, 37, 37, 144, 141, 156, 146, 167, 144, 146, 149, 144, 159


FullFit, 148, 88, 90, 62, 78, 63, 65, 63, 65, 61, 254, 244, 257, 259, 260, 250, 247, 246, 258, 246, 1041, 984, 985, 1029, 1042, 1011, 988, 978, 997, 997, 3859, 3938, 4538, 3751, 3873, 3780, 3803, 3942, 3785, 3787, 14931, 14921, 16163, 17332, 16575, 16995, 17017, 15761, 17036, 16645

sortedFullFit, 90, 93, 88, 84, 115, 91, 94, 86, 84, 84, 321, 349, 333, 351, 367, 336, 355, 324, 322, 319, 1307, 1361, 1326, 1420, 1400, 1370, 1538, 1330, 1391, 1332, 5545, 5398, 5447, 5450, 5162, 5332, 5123, 5086, 5357, 5146, 20913, 21196, 21840, 23068, 21852, 23011, 21920, 22091, 23487, 23336


modFullFit,   64, 73, 77, 63, 79, 62, 60, 60, 65, 62, 223, 235, 227, 232, 248, 222, 217, 220, 230, 232, 1155, 852, 857, 897, 900, 920, 853, 887, 889, 899, 3320, 3633, 3696, 3327, 3465, 3495, 3374, 3389, 3323, 3372, 13200, 13622, 13266, 14903, 14102, 14336, 14861, 13996, 14549, 14741


sortedModFullFit, 73, 71, 70, 60, 66, 62, 60, 63, 63, 61, 237, 241, 243, 255, 275, 242, 222, 246, 239, 247, 969, 982, 1022, 1022, 975, 969, 942, 1011, 1018, 1006, 3839, 4487, 4023, 3752, 3829, 3795, 3955, 3740, 3823, 4045, 15433, 16114, 17049, 16868, 18624, 18090, 16207, 15807, 18036, 16187
