itemsNumber		totalSize			nextFit			sortedNextFit			FirstFit			sortedFirstFit			BestFit			sortedBestFit			WorstFit			sortedWorstFit			FullFit			sortedFullFit			modFullFit			sortedModFullFit		
1250		66208	65750.4	1023.281019	1.032258	0.3630653	0.236476134	0.326814	0.28204	0.020068798	7.015526	1.2188171	2.036829253	1.086267	0.6698177	0.148123145	8.106777	1.46352	2.334397388	1.049712	0.8477704	0.072676672	8.433297	1.5710572	2.411713902	0.948557	0.9364722	0.029153509	148	78.3	26.82473982	90	90.9	9.255028663	64	66.5	7.106335202	73	64.9	4.817791103
1250		67456			0.318531			0.309777			0.578832			0.613744			0.738308			0.851279			0.876855			0.948023			88			93			73			71		
1250		66954			0.278988			0.268085			0.569388			0.66704			0.70258			0.814032			0.764467			0.902103			90			88			77			70		
1250		64189			0.308797			0.26751			0.560694			0.59794			0.679943			0.805017			0.753528			1.00207			62			84			63			60		
1250		65135			0.339839			0.280794			0.61794			0.650474			0.706257			0.846875			0.852158			0.922412			78			115			79			66		
1250		66249			0.276133			0.277592			0.587456			0.604413			0.794907			0.810257			0.830872			0.914262			63			91			62			62		
1250		65821			0.268672			0.26909			0.566017			0.645712			0.718841			0.838157			0.778763			0.921175			65			94			60			60		
1250		64788			0.267856			0.269464			0.563483			0.616929			0.730653			0.824242			0.754649			0.932622			63			86			60			63		
1250		65873			0.270013			0.272835			0.565631			0.607414			0.719964			0.812888			0.771115			0.915005			65			84			65			63		
1250		64831			0.269566			0.278439			0.563204			0.608244			0.73697			0.825245			0.894868			0.958493			61			84			62			61		
2500		131912	131746.3	1609.664289	0.854112	0.5518293	0.252047096	0.618658	0.5036552	0.264660917	1.994667	2.0010774	0.491571765	1.921063	2.2741017	0.954702652	2.374779	2.4565043	0.532557613	3.11693	3.2678614	0.66208736	2.334792	2.5420587	0.626331547	3.2208	3.4367828	0.693370472	254	252.1	6.172519745	321	337.7	16.83283828	223	228.6	8.996295534	237	244.7	13.58962022
2500		131513			0.612947			0.665077			2.058406			1.946794			2.223763			2.861107			2.534233			3.088294			244			349			235			241		
2500		132335			0.612373			0.545555			1.816357			1.914403			2.288592			3.186795			2.555773			4.442105			257			333			227			243		
2500		134377			0.896964			0.82869			3.030492			3.69292			2.349899			3.818773			2.467784			3.958432			259			351			232			255		
2500		133712			0.553767			0.549754			1.733794			1.966935			2.770633			2.822254			2.736952			3.077172			260			367			248			275		
2500		129102			0.54222			0.541998			1.781376			1.942893			2.453605			3.343373			2.368732			4.621301			250			336			222			242		
2500		129936			0.564321			0.825231			2.592297			4.384766			3.81301			4.620773			4.169723			3.282249			247			355			217			222		
2500		130869			0.613708			0.234082			2.095231			1.793227			2.329234			2.540888			2.383854			2.621877			246			324			220			246		
2500		131131			0.149952			0.113521			1.477614			1.591975			2.129934			2.524432			1.912194			2.627119			258			322			230			239		
2500		132576			0.117929			0.113986			1.43054			1.586041			1.831594			3.843289			1.95655			3.428479			246			319			232			247		
5000		261109	263023.3	2113.443428	0.284292	0.1980357	0.107687307	0.230357	0.1786618	0.140830556	6.400894	6.12305	0.638484919	5.947496	6.7364888	1.371751332	7.130773	6.9214129	0.628733692	9.406662	10.3957893	1.661004338	7.069002	7.8721394	0.772904844	9.923164	11.6971869	2.676418527	1041	1005.2	24.18355732	1307	1377.5	67.10894956	1155	910.9	88.75615785	969	991.6	27.84560608
5000		261985			0.235516			0.227488			5.624014			6.19057			7.895273			9.643346			7.599287			9.965447			984			1361			852			982		
5000		261511			0.244379			0.514004			5.756447			10.500144			7.551542			10.384319			9.317571			13.457376			985			1326			857			1022		
5000		263660			0.235045			0.286111			6.241432			6.12388			7.779144			12.650803			7.28458			18.370613			1029			1420			897			1022		
5000		261440			0.425653			0.09311			7.458911			6.251696			6.84956			13.144256			7.394236			10.00878			1042			1400			900			975		
5000		266547			0.098901			0.083806			5.398188			6.885531			6.233283			8.948898			7.495106			12.021815			1011			1370			920			969		
5000		260128			0.154163			0.090605			6.29995			7.010564			6.499279			11.734168			8.484386			12.474897			988			1538			853			942		
5000		265715			0.108159			0.095569			5.954339			6.059592			6.30386			10.868465			7.515896			10.961702			978			1330			887			1011		
5000		263954			0.09658			0.08922			6.685892			6.424945			6.571793			8.642047			8.993537			9.687379			997			1391			889			1018		
5000		264184			0.097669			0.076348			5.410433			5.97047			6.399622			8.534929			7.567793			10.100696			997			1332			899			1006		
