											FullFit	ModFullFit			
5356	5406	5446	5402	5362	5391	5402	5375	5412	5380	10	5393.2	5391.6		26.51540433	26.89981413
5432	5386	5425	5387	5424	5374	5398	5385	5391	5373	20	5397.5	5378.9		21.71149209	27.69055194
5400	5449	5370	5360	5383	5378	5393	5392	5424	5425	25	5397.4	5364.7		27.72964719	27.84899759
5347	5366	5398	5357	5388	5432	5434	5376	5376	5400	30	5387.4	5332.3		29.26203456	32.58851195
5458	5376	5360	5444	5368	5351	5379	5384	5372	5385	35	5387.7	5312.6		35.10951122	34.35824339
5408	5440	5320	5414	5410	5366	5405	5439	5339	5465	40	5400.6	5326		45.95214902	47.03190407
5376	5408	5396	5450	5342	5446	5403	5366	5393	5498	50	5407.8	5331.9		45.75975913	39.55994046
															
modified															
															
5355	5407	5445	5402	5361	5388	5398	5371	5411	5378						
5421	5359	5418	5365	5408	5348	5366	5367	5387	5350						
5378	5415	5343	5315	5365	5338	5367	5362	5384	5380						
5285	5324	5355	5301	5340	5379	5379	5311	5305	5344						
5377	5297	5280	5366	5320	5270	5312	5308	5297	5299						
5316	5361	5247	5341	5333	5299	5318	5375	5269	5401						
5312	5326	5329	5374	5293	5358	5314	5287	5311	5415						
