												FullFit	ModFullFit				
4305	4100	4176	4070	4144	4023	4029	4107	4014	4096		10	4106.4	4132.8		87.34249316	144.8722042	87.34249316
4124	3973	4009	4011	4178	3945	3969	4082	4116	3916		20	4032.3	3871.8		87.41986807	96.10503513	
4030	4001	4106	3943	3891	3823	3828	3810	3876	3865		25	3917.3	3690.7		99.71520557	124.0717087	
4070	3955	4057	3874	3922	3861	3818	3860	4095	3887		30	3939.9	3504.9		99.91824436	172.0306497	
4022	3850	3813	3972	3900	3850	3870	3942	3929	4031		35	3917.9	3292.1		74.60927854	61.30153161	
3925	3963	3774	3991	3858	3946	4012	4026	3906	3934		40	3933.5	3369.8		75.29239301	104.8192094	
4094	3926	3997	3919	3876	3954	4034	3876	3877	4126		50	3967.9	2784.1		91.65569631	60.91788644	
																	
modified																	
																	
4173	4021	4264	4488	4057	4066	4024	4079	4063	4093								
3720	3758	3828	3969	3857	3882	3927	3855	3871	4051								
3693	4030	3661	3693	3677	3628	3624	3585	3676	3640								
3396	3629	3594	3380	3474	3457	3365	3494	3914	3346								
3268	3200	3198	3353	3386	3276	3337	3289	3289	3325								
3152	3296	3401	3467	3438	3330	3356	3515	3308	3435								
2749	2745	2812	2831	2738	2795	2761	2693	2806	2911								
